order_id,customer_id,product_category,price,quantity,discount,order_date,total_value
48,9226,Home,216.68,4,0.04,2023-01-02 23:00:00,832.0512
49,4152,Clothing,66.6,4,0.29,2023-01-03 00:00:00,189.14399999999998
50,2585,Beauty,267.44,5,0.16,2023-01-03 01:00:00,1123.248
51,4943,Clothing,193.83,3,0.03,2023-01-03 02:00:00,564.0453
52,8555,Clothing,73.27,1,0.06,2023-01-03 03:00:00,68.87379999999999
53,4073,Clothing,491.0,4,0.12,2023-01-03 04:00:00,1728.32
54,2021,Sports,188.03,2,0.16,2023-01-03 05:00:00,315.8904
55,4843,Clothing,314.77,1,0.05,2023-01-03 06:00:00,299.0315
56,8989,Clothing,247.61,1,0.08,2023-01-03 07:00:00,227.80120000000002
57,7873,Sports,75.7,4,0.24,2023-01-03 08:00:00,230.12800000000001
58,6675,Books,32.49,2,0.13,2023-01-03 09:00:00,56.5326
59,1161,Home,314.76,4,0.0,2023-01-03 10:00:00,1259.04
60,5297,Books,127.28,4,0.02,2023-01-03 11:00:00,498.9376
61,1995,Electronics,125.61,2,0.13,2023-01-03 12:00:00,218.5614
62,8629,Sports,478.7,1,0.02,2023-01-03 13:00:00,469.126
63,2016,Sports,233.58,1,0.05,2023-01-03 14:00:00,221.901
64,8869,Clothing,19.57,2,0.22,2023-01-03 15:00:00,30.529200000000003
65,7439,Clothing,173.22,1,0.14,2023-01-03 16:00:00,148.9692
66,8892,Electronics,294.32,5,0.14,2023-01-03 17:00:00,1265.5759999999998
67,7863,Clothing,167.64,4,0.18,2023-01-03 18:00:00,549.8592
68,8916,Beauty,18.29,5,0.24,2023-01-03 19:00:00,69.502
69,9529,Clothing,224.93,5,0.05,2023-01-03 20:00:00,1068.4175
70,1878,Clothing,57.42,5,0.05,2023-01-03 21:00:00,272.745
71,5887,Beauty,311.48,3,0.04,2023-01-03 22:00:00,897.0624
72,5859,Electronics,311.7,3,0.28,2023-01-03 23:00:00,673.2719999999999
73,7331,Beauty,23.69,5,0.17,2023-01-04 00:00:00,98.31349999999999
74,9571,Sports,148.88,4,0.03,2023-01-04 01:00:00,577.6544
75,9684,Beauty,209.77,5,0.07,2023-01-04 02:00:00,975.4305
76,8208,Home,277.38,5,0.22,2023-01-04 03:00:00,1081.7820000000002
77,6276,Sports,151.55,3,0.01,2023-01-04 04:00:00,450.10350000000005
78,3062,Clothing,147.43,5,0.22,2023-01-04 05:00:00,574.9770000000001
79,1064,Sports,491.59,4,0.27,2023-01-04 06:00:00,1435.4427999999998
80,9006,Electronics,25.72,4,0.02,2023-01-04 07:00:00,100.82239999999999
81,3568,Electronics,494.58,5,0.06,2023-01-04 08:00:00,2324.526
82,6463,Beauty,28.64,4,0.0,2023-01-04 09:00:00,114.56
83,3027,Sports,147.73,5,0.03,2023-01-04 10:00:00,716.4905
84,3695,Clothing,249.38,3,0.19,2023-01-04 11:00:00,605.9934000000001
85,6258,Electronics,75.93,5,0.01,2023-01-04 12:00:00,375.85350000000005
86,6618,Books,71.75,1,0.13,2023-01-04 13:00:00,62.4225
87,7736,Clothing,131.87,3,0.15,2023-01-04 14:00:00,336.2685
88,1391,Books,486.89,4,0.27,2023-01-04 15:00:00,1421.7187999999999
89,6892,Home,193.16,4,0.14,2023-01-04 16:00:00,664.4703999999999
90,4561,Books,285.17,3,0.04,2023-01-04 17:00:00,821.2896
91,7184,Electronics,353.62,1,0.09,2023-01-04 18:00:00,321.7942
92,4099,Beauty,372.4,3,0.2,2023-01-04 19:00:00,893.7599999999999
93,7278,Home,345.58,2,0.03,2023-01-04 20:00:00,670.4251999999999
94,9392,Sports,171.78,1,0.07,2023-01-04 21:00:00,159.75539999999998
95,4104,Clothing,60.31,3,0.3,2023-01-04 22:00:00,126.651
96,8215,Electronics,144.45,2,0.0,2023-01-04 23:00:00,288.9
97,3454,Home,109.1,5,0.05,2023-01-05 00:00:00,518.225
98,9996,Home,72.46,1,0.25,2023-01-05 01:00:00,54.345
99,3731,Electronics,17.13,5,0.03,2023-01-05 02:00:00,83.08049999999999
100,9154,Sports,468.18,2,0.01,2023-01-05 03:00:00,926.9964
101,6056,Sports,460.91,4,0.04,2023-01-05 04:00:00,1769.8944000000001
102,9110,Beauty,29.96,4,0.21,2023-01-05 05:00:00,94.67360000000001
103,4840,Books,90.68,4,0.3,2023-01-05 06:00:00,253.904
104,2028,Sports,74.05,5,0.18,2023-01-05 07:00:00,303.605
105,8385,Beauty,144.21,1,0.04,2023-01-05 08:00:00,138.4416
106,1502,Books,106.01,5,0.06,2023-01-05 09:00:00,498.247
107,7910,Home,473.2,5,0.16,2023-01-05 10:00:00,1987.4399999999998
108,7938,Electronics,46.66,4,0.21,2023-01-05 11:00:00,147.44559999999998
109,5488,Sports,109.78,5,0.2,2023-01-05 12:00:00,439.12
110,1206,Beauty,44.96,2,0.17,2023-01-05 13:00:00,74.6336
111,6134,Home,490.29,3,0.3,2023-01-05 14:00:00,1029.609
112,6977,Sports,459.61,3,0.06,2023-01-05 15:00:00,1296.1001999999999
113,8721,Clothing,359.73,3,0.05,2023-01-05 16:00:00,1025.2305
114,8035,Home,215.86,4,0.26,2023-01-05 17:00:00,638.9456
115,2484,Sports,99.14,4,0.09,2023-01-05 18:00:00,360.8696
116,8858,Home,114.64,3,0.1,2023-01-05 19:00:00,309.528
117,1863,Electronics,224.3,1,0.16,2023-01-05 20:00:00,188.412
118,3790,Electronics,385.27,3,0.11,2023-01-05 21:00:00,1028.6709
119,8408,Electronics,136.04,5,0.09,2023-01-05 22:00:00,618.982
120,9755,Books,158.84,3,0.28,2023-01-05 23:00:00,343.09439999999995
121,6116,Clothing,301.97,3,0.04,2023-01-06 00:00:00,869.6736000000001
122,7019,Electronics,122.68,1,0.12,2023-01-06 01:00:00,107.95840000000001
123,2757,Clothing,294.19,4,0.0,2023-01-06 02:00:00,1176.76
124,8574,Electronics,196.63,4,0.24,2023-01-06 03:00:00,597.7552
125,7374,Books,22.01,5,0.05,2023-01-06 04:00:00,104.5475
126,7892,Home,204.34,3,0.23,2023-01-06 05:00:00,472.0254
127,2678,Sports,460.17,2,0.04,2023-01-06 06:00:00,883.5264
128,4242,Sports,150.09,5,0.13,2023-01-06 07:00:00,652.8915000000001
129,5636,Electronics,164.8,4,0.22,2023-01-06 08:00:00,514.176
130,2059,Sports,37.64,1,0.08,2023-01-06 09:00:00,34.628800000000005
131,7668,Electronics,309.45,4,0.09,2023-01-06 10:00:00,1126.398
132,4157,Electronics,425.37,4,0.2,2023-01-06 11:00:00,1361.1840000000002
133,6915,Beauty,179.7,1,0.06,2023-01-06 12:00:00,168.91799999999998
134,3693,Beauty,123.92,3,0.29,2023-01-06 13:00:00,263.9496
135,4627,Beauty,478.52,3,0.06,2023-01-06 14:00:00,1349.4263999999998
136,6450,Clothing,373.81,4,0.22,2023-01-06 15:00:00,1166.2872
137,2663,Beauty,285.75,5,0.24,2023-01-06 16:00:00,1085.85
138,6592,Electronics,156.24,2,0.11,2023-01-06 17:00:00,278.10720000000003
139,8392,Books,114.3,5,0.05,2023-01-06 18:00:00,542.925
140,2306,Books,359.29,5,0.05,2023-01-06 19:00:00,1706.6275
141,7776,Home,263.29,4,0.3,2023-01-06 20:00:00,737.212
142,6864,Beauty,262.7,4,0.22,2023-01-06 21:00:00,819.624
143,8526,Books,41.49,2,0.14,2023-01-06 22:00:00,71.36280000000001
144,9901,Beauty,258.54,2,0.08,2023-01-06 23:00:00,475.71360000000004
145,6575,Home,412.26,2,0.01,2023-01-07 00:00:00,816.2748
146,6530,Books,473.67,4,0.2,2023-01-07 01:00:00,1515.7440000000001
147,5413,Electronics,57.81,4,0.29,2023-01-07 02:00:00,164.1804
148,4748,Clothing,317.43,5,0.03,2023-01-07 03:00:00,1539.5355
149,1663,Beauty,286.33,4,0.23,2023-01-07 04:00:00,881.8964
150,2998,Books,445.7,3,0.05,2023-01-07 05:00:00,1270.245
151,8994,Books,376.87,3,0.24,2023-01-07 06:00:00,859.2636000000001
152,2495,Home,482.8,2,0.11,2023-01-07 07:00:00,859.384
153,4304,Electronics,480.22,4,0.21,2023-01-07 08:00:00,1517.4952
154,4763,Sports,116.71,3,0.28,2023-01-07 09:00:00,252.09359999999998
155,6232,Books,364.05,5,0.19,2023-01-07 10:00:00,1474.4025000000001
156,2853,Clothing,267.61,1,0.28,2023-01-07 11:00:00,192.6792
157,7585,Home,111.23,5,0.07,2023-01-07 12:00:00,517.2194999999999
158,2291,Books,101.46,1,0.29,2023-01-07 13:00:00,72.03659999999999
159,4581,Books,45.14,5,0.26,2023-01-07 14:00:00,167.018
160,8554,Home,398.79,3,0.03,2023-01-07 15:00:00,1160.4789
161,8280,Home,165.63,4,0.12,2023-01-07 16:00:00,583.0176
162,2636,Beauty,429.2,1,0.28,2023-01-07 17:00:00,309.024
163,4696,Books,306.12,4,0.02,2023-01-07 18:00:00,1199.9904
164,1698,Sports,338.45,4,0.14,2023-01-07 19:00:00,1164.268
165,5737,Clothing,149.38,3,0.22,2023-01-07 20:00:00,349.5492
166,1854,Electronics,231.36,2,0.01,2023-01-07 21:00:00,458.0928
167,9164,Electronics,209.1,2,0.23,2023-01-07 22:00:00,322.014
168,6855,Sports,121.67,1,0.11,2023-01-07 23:00:00,108.2863
169,8392,Home,417.09,3,0.07,2023-01-08 00:00:00,1163.6811
170,7528,Home,312.93,4,0.17,2023-01-08 01:00:00,1038.9276
171,6249,Home,23.53,5,0.16,2023-01-08 02:00:00,98.82600000000001
172,6172,Books,410.86,5,0.26,2023-01-08 03:00:00,1520.182
173,2707,Home,57.49,1,0.2,2023-01-08 04:00:00,45.992000000000004
174,6791,Home,204.83,1,0.13,2023-01-08 05:00:00,178.2021
175,6535,Books,287.77,1,0.2,2023-01-08 06:00:00,230.216
176,5931,Books,8.79,3,0.23,2023-01-08 07:00:00,20.3049
177,4510,Sports,328.19,5,0.28,2023-01-08 08:00:00,1181.484
178,1202,Beauty,331.55,3,0.21,2023-01-08 09:00:00,785.7735000000001
179,5218,Books,328.0,3,0.16,2023-01-08 10:00:00,826.56
180,9958,Clothing,85.92,4,0.11,2023-01-08 11:00:00,305.8752
181,5389,Home,131.59,3,0.27,2023-01-08 12:00:00,288.1821
182,3327,Beauty,127.45,3,0.24,2023-01-08 13:00:00,290.586
183,9004,Electronics,480.23,4,0.02,2023-01-08 14:00:00,1882.5016
184,3931,Sports,38.43,2,0.21,2023-01-08 15:00:00,60.7194
185,8777,Beauty,217.24,4,0.16,2023-01-08 16:00:00,729.9264000000001
186,1197,Books,436.27,1,0.03,2023-01-08 17:00:00,423.1819
187,8125,Home,385.89,2,0.17,2023-01-08 18:00:00,640.5773999999999
188,2930,Home,412.11,5,0.06,2023-01-08 19:00:00,1936.9170000000001
189,7287,Home,486.29,3,0.21,2023-01-08 20:00:00,1152.5073000000002
190,9800,Beauty,196.69,2,0.08,2023-01-08 21:00:00,361.9096
191,5282,Home,158.28,5,0.05,2023-01-08 22:00:00,751.8299999999999
192,3511,Books,20.18,4,0.02,2023-01-08 23:00:00,79.1056
193,1659,Beauty,79.26,4,0.15,2023-01-09 00:00:00,269.48400000000004
194,3811,Home,283.2,1,0.06,2023-01-09 01:00:00,266.20799999999997
195,8098,Electronics,83.04,1,0.26,2023-01-09 02:00:00,61.449600000000004
196,7546,Electronics,369.47,2,0.0,2023-01-09 03:00:00,738.94
197,2986,Clothing,23.43,3,0.25,2023-01-09 04:00:00,52.717499999999994
198,9338,Home,133.45,4,0.16,2023-01-09 05:00:00,448.39199999999994
199,3911,Home,349.25,2,0.28,2023-01-09 06:00:00,502.91999999999996
200,2734,Beauty,131.47,2,0.06,2023-01-09 07:00:00,247.16359999999997
201,2843,Beauty,365.74,2,0.03,2023-01-09 08:00:00,709.5356
202,9680,Home,497.95,1,0.19,2023-01-09 09:00:00,403.33950000000004
203,3976,Clothing,399.56,4,0.21,2023-01-09 10:00:00,1262.6096
204,2959,Home,174.21,1,0.11,2023-01-09 11:00:00,155.04690000000002
205,6759,Books,450.79,1,0.0,2023-01-09 12:00:00,450.79
206,7694,Beauty,30.33,2,0.12,2023-01-09 13:00:00,53.3808
207,3385,Home,363.88,5,0.07,2023-01-09 14:00:00,1692.042
208,5736,Beauty,16.54,5,0.1,2023-01-09 15:00:00,74.42999999999999
209,2802,Home,91.4,5,0.15,2023-01-09 16:00:00,388.45
210,9155,Sports,493.85,2,0.21,2023-01-09 17:00:00,780.283
211,9120,Beauty,183.64,3,0.29,2023-01-09 18:00:00,391.15319999999997
212,7616,Clothing,411.15,4,0.04,2023-01-09 19:00:00,1578.8159999999998
213,6534,Sports,191.16,2,0.2,2023-01-09 20:00:00,305.856
214,5061,Books,420.81,2,0.07,2023-01-09 21:00:00,782.7066
215,1262,Home,482.89,1,0.07,2023-01-09 22:00:00,449.0877
216,7287,Books,220.59,5,0.19,2023-01-09 23:00:00,893.3895000000001
217,9815,Beauty,281.88,2,0.23,2023-01-10 00:00:00,434.0952
218,3049,Sports,316.18,3,0.29,2023-01-10 01:00:00,673.4634
219,6423,Books,467.74,4,0.23,2023-01-10 02:00:00,1440.6392
220,5548,Clothing,132.09,3,0.05,2023-01-10 03:00:00,376.45649999999995
221,4108,Beauty,307.57,2,0.07,2023-01-10 04:00:00,572.0802
222,8158,Sports,165.74,2,0.23,2023-01-10 05:00:00,255.23960000000002
223,8400,Books,112.38,1,0.16,2023-01-10 06:00:00,94.3992
224,4170,Sports,47.04,3,0.09,2023-01-10 07:00:00,128.41920000000002
225,3255,Sports,312.25,1,0.14,2023-01-10 08:00:00,268.53499999999997
226,2154,Books,441.63,3,0.27,2023-01-10 09:00:00,967.1696999999999
227,5499,Electronics,178.94,5,0.23,2023-01-10 10:00:00,688.9190000000001
228,7295,Home,278.57,5,0.14,2023-01-10 11:00:00,1197.8509999999999
229,7197,Beauty,322.86,3,0.29,2023-01-10 12:00:00,687.6918
230,2648,Beauty,210.25,1,0.24,2023-01-10 13:00:00,159.79
231,6539,Beauty,452.16,5,0.0,2023-01-10 14:00:00,2260.8
232,5199,Sports,184.56,2,0.03,2023-01-10 15:00:00,358.0464
233,9445,Books,66.88,4,0.17,2023-01-10 16:00:00,222.0416
234,3557,Home,76.29,1,0.1,2023-01-10 17:00:00,68.661
235,6592,Clothing,445.97,3,0.24,2023-01-10 18:00:00,1016.8116000000001
236,1098,Beauty,494.06,4,0.27,2023-01-10 19:00:00,1442.6552
237,3200,Books,148.02,4,0.07,2023-01-10 20:00:00,550.6344
238,3961,Home,76.08,2,0.23,2023-01-10 21:00:00,117.1632
239,5973,Home,243.7,1,0.16,2023-01-10 22:00:00,204.70799999999997
240,5433,Electronics,356.22,4,0.12,2023-01-10 23:00:00,1253.8944000000001
241,3869,Books,308.14,1,0.24,2023-01-11 00:00:00,234.1864
242,1956,Beauty,475.8,2,0.17,2023-01-11 01:00:00,789.828
243,9352,Sports,409.8,3,0.19,2023-01-11 02:00:00,995.8140000000002
244,6699,Home,435.14,4,0.02,2023-01-11 03:00:00,1705.7487999999998
245,7944,Home,273.13,4,0.18,2023-01-11 04:00:00,895.8664
246,5493,Clothing,167.0,4,0.09,2023-01-11 05:00:00,607.88
247,5911,Electronics,352.36,1,0.15,2023-01-11 06:00:00,299.50600000000003
248,4987,Home,222.33,4,0.07,2023-01-11 07:00:00,827.0676
249,7015,Home,147.44,1,0.18,2023-01-11 08:00:00,120.9008
250,2218,Sports,80.37,5,0.04,2023-01-11 09:00:00,385.776
251,5496,Sports,266.3,5,0.04,2023-01-11 10:00:00,1278.24
252,5735,Clothing,299.16,1,0.06,2023-01-11 11:00:00,281.2104
253,5555,Books,286.55,5,0.25,2023-01-11 12:00:00,1074.5625
254,9050,Clothing,62.69,2,0.01,2023-01-11 13:00:00,124.1262
255,4446,Clothing,287.14,2,0.22,2023-01-11 14:00:00,447.9384
256,2045,Sports,88.36,5,0.02,2023-01-11 15:00:00,432.964
257,7893,Books,333.54,3,0.18,2023-01-11 16:00:00,820.5084000000002
258,2693,Sports,217.55,1,0.23,2023-01-11 17:00:00,167.51350000000002
259,4436,Electronics,425.15,5,0.07,2023-01-11 18:00:00,1976.9474999999998
260,9754,Beauty,390.24,1,0.06,2023-01-11 19:00:00,366.8256
261,6895,Beauty,363.57,5,0.09,2023-01-11 20:00:00,1654.2435
262,4354,Electronics,351.86,2,0.21,2023-01-11 21:00:00,555.9388
263,1225,Beauty,282.44,3,0.08,2023-01-11 22:00:00,779.5344
264,5893,Books,35.25,1,0.15,2023-01-11 23:00:00,29.9625
265,8022,Sports,329.47,3,0.04,2023-01-12 00:00:00,948.8736
266,6600,Beauty,236.13,2,0.14,2023-01-12 01:00:00,406.1436
267,8996,Books,237.43,4,0.19,2023-01-12 02:00:00,769.2732000000001
268,8683,Sports,192.62,4,0.02,2023-01-12 03:00:00,755.0704
269,5642,Books,464.89,1,0.24,2023-01-12 04:00:00,353.3164
270,8679,Electronics,128.48,2,0.28,2023-01-12 05:00:00,185.01119999999997
271,9208,Clothing,161.71,1,0.06,2023-01-12 06:00:00,152.0074
272,8339,Electronics,481.71,1,0.23,2023-01-12 07:00:00,370.9167
273,3205,Beauty,406.03,1,0.09,2023-01-12 08:00:00,369.4873
274,2069,Sports,11.97,3,0.2,2023-01-12 09:00:00,28.728000000000005
275,4444,Books,453.52,5,0.09,2023-01-12 10:00:00,2063.516
276,2060,Beauty,117.19,2,0.26,2023-01-12 11:00:00,173.44119999999998
277,3327,Beauty,354.44,3,0.1,2023-01-12 12:00:00,956.9879999999999
278,4420,Clothing,278.77,5,0.25,2023-01-12 13:00:00,1045.3874999999998
279,1301,Beauty,270.72,1,0.23,2023-01-12 14:00:00,208.45440000000002
280,1606,Clothing,360.37,4,0.06,2023-01-12 15:00:00,1354.9912
281,4170,Sports,107.55,3,0.05,2023-01-12 16:00:00,306.5175
282,1699,Sports,83.72,2,0.23,2023-01-12 17:00:00,128.9288
283,6088,Books,327.7,2,0.12,2023-01-12 18:00:00,576.752
284,1190,Clothing,148.84,5,0.28,2023-01-12 19:00:00,535.8240000000001
285,1980,Electronics,487.11,3,0.28,2023-01-12 20:00:00,1052.1576
286,3975,Sports,228.5,1,0.21,2023-01-12 21:00:00,180.51500000000001
287,7102,Books,60.24,5,0.15,2023-01-12 22:00:00,256.02
288,2184,Electronics,344.48,2,0.06,2023-01-12 23:00:00,647.6224
289,4327,Sports,156.55,3,0.26,2023-01-13 00:00:00,347.541
290,4394,Sports,78.55,4,0.02,2023-01-13 01:00:00,307.916
291,9319,Books,214.3,1,0.11,2023-01-13 02:00:00,190.727
292,2816,Books,482.29,2,0.1,2023-01-13 03:00:00,868.1220000000001
293,6854,Home,208.66,3,0.29,2023-01-13 04:00:00,444.44579999999996
294,7709,Beauty,176.93,4,0.04,2023-01-13 05:00:00,679.4112
295,1569,Beauty,225.03,2,0.27,2023-01-13 06:00:00,328.5438
296,6442,Electronics,11.0,4,0.14,2023-01-13 07:00:00,37.839999999999996
297,2895,Beauty,70.89,2,0.01,2023-01-13 08:00:00,140.3622
298,3733,Electronics,425.59,5,0.22,2023-01-13 09:00:00,1659.801
299,4863,Sports,489.13,5,0.03,2023-01-13 10:00:00,2372.2805
300,8455,Home,83.18,5,0.07,2023-01-13 11:00:00,386.787
301,5014,Home,270.08,3,0.24,2023-01-13 12:00:00,615.7824
302,2686,Sports,483.34,5,0.05,2023-01-13 13:00:00,2295.865
303,4009,Books,82.51,3,0.1,2023-01-13 14:00:00,222.77700000000004
304,8806,Clothing,97.22,1,0.11,2023-01-13 15:00:00,86.5258
305,1154,Clothing,463.77,5,0.18,2023-01-13 16:00:00,1901.457
306,2409,Beauty,354.32,3,0.24,2023-01-13 17:00:00,807.8496
307,1784,Books,80.22,2,0.07,2023-01-13 18:00:00,149.20919999999998
308,9096,Electronics,199.78,3,0.06,2023-01-13 19:00:00,563.3796
309,8560,Home,32.85,3,0.07,2023-01-13 20:00:00,91.6515
310,8343,Beauty,219.17,2,0.11,2023-01-13 21:00:00,390.1226
311,8206,Sports,390.06,3,0.16,2023-01-13 22:00:00,982.9512
312,6596,Books,279.22,2,0.0,2023-01-13 23:00:00,558.44
313,6801,Home,325.48,4,0.23,2023-01-14 00:00:00,1002.4784000000001
314,3806,Electronics,166.78,5,0.28,2023-01-14 01:00:00,600.408
315,1537,Electronics,84.89,1,0.25,2023-01-14 02:00:00,63.667500000000004
316,6986,Clothing,11.49,3,0.01,2023-01-14 03:00:00,34.125299999999996
317,2841,Beauty,411.55,2,0.16,2023-01-14 04:00:00,691.404
318,9716,Sports,320.14,5,0.24,2023-01-14 05:00:00,1216.532
319,7971,Home,118.51,3,0.1,2023-01-14 06:00:00,319.97700000000003
320,6625,Electronics,212.12,5,0.27,2023-01-14 07:00:00,774.2379999999999
321,3950,Home,401.71,4,0.27,2023-01-14 08:00:00,1172.9932
322,8992,Sports,271.66,3,0.04,2023-01-14 09:00:00,782.3808
323,5780,Home,153.58,2,0.15,2023-01-14 10:00:00,261.086
324,3368,Beauty,137.26,4,0.01,2023-01-14 11:00:00,543.5495999999999
325,7655,Clothing,112.72,3,0.08,2023-01-14 12:00:00,311.1072
326,9173,Home,412.75,5,0.24,2023-01-14 13:00:00,1568.45
327,5495,Books,293.02,4,0.29,2023-01-14 14:00:00,832.1768
328,7002,Clothing,356.03,2,0.27,2023-01-14 15:00:00,519.8037999999999
329,7614,Sports,430.76,3,0.01,2023-01-14 16:00:00,1279.3572
330,6919,Clothing,493.5,5,0.28,2023-01-14 17:00:00,1776.6
331,1853,Home,128.49,5,0.25,2023-01-14 18:00:00,481.83750000000003
332,5146,Home,94.55,4,0.26,2023-01-14 19:00:00,279.868
333,4769,Books,233.69,3,0.27,2023-01-14 20:00:00,511.7810999999999
334,1574,Electronics,22.36,5,0.15,2023-01-14 21:00:00,95.03
335,2148,Books,396.9,4,0.06,2023-01-14 22:00:00,1492.3439999999998
336,7293,Home,442.46,1,0.01,2023-01-14 23:00:00,438.0354
337,7457,Clothing,344.59,5,0.01,2023-01-15 00:00:00,1705.7205
338,8509,Books,137.66,4,0.19,2023-01-15 01:00:00,446.01840000000004
339,5777,Books,65.96,1,0.1,2023-01-15 02:00:00,59.364
340,4854,Electronics,194.16,4,0.15,2023-01-15 03:00:00,660.144
341,3491,Home,417.5,5,0.04,2023-01-15 04:00:00,2004.0
342,4124,Home,177.17,1,0.29,2023-01-15 05:00:00,125.79069999999999
343,6691,Sports,21.96,4,0.04,2023-01-15 06:00:00,84.3264
344,4051,Electronics,140.77,3,0.13,2023-01-15 07:00:00,367.40970000000004
345,1004,Sports,495.02,1,0.13,2023-01-15 08:00:00,430.6674
346,6222,Sports,339.95,4,0.0,2023-01-15 09:00:00,1359.8
347,6315,Sports,450.92,3,0.2,2023-01-15 10:00:00,1082.208
348,5869,Beauty,388.56,1,0.16,2023-01-15 11:00:00,326.3904
349,1876,Sports,272.15,4,0.15,2023-01-15 12:00:00,925.31
350,8027,Books,78.6,5,0.25,2023-01-15 13:00:00,294.75
351,5142,Clothing,177.58,1,0.07,2023-01-15 14:00:00,165.1494
352,7966,Books,293.95,1,0.26,2023-01-15 15:00:00,217.523
353,8079,Books,435.96,3,0.26,2023-01-15 16:00:00,967.8311999999999
354,8987,Home,137.99,4,0.25,2023-01-15 17:00:00,413.97
355,7799,Beauty,65.01,5,0.1,2023-01-15 18:00:00,292.545
356,5465,Sports,281.62,3,0.05,2023-01-15 19:00:00,802.617
357,1635,Home,92.37,1,0.14,2023-01-15 20:00:00,79.43820000000001
358,2693,Electronics,307.13,3,0.08,2023-01-15 21:00:00,847.6788
359,5752,Electronics,135.44,3,0.02,2023-01-15 22:00:00,398.1936
360,9311,Home,119.33,3,0.08,2023-01-15 23:00:00,329.35080000000005
361,1830,Clothing,202.59,1,0.14,2023-01-16 00:00:00,174.2274
362,6177,Home,298.63,2,0.03,2023-01-16 01:00:00,579.3421999999999
363,9932,Home,274.93,3,0.28,2023-01-16 02:00:00,593.8488
364,9308,Beauty,126.14,2,0.2,2023-01-16 03:00:00,201.824
365,6949,Electronics,446.1,5,0.04,2023-01-16 04:00:00,2141.2799999999997
